GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
chr1:169026196-169032664_F,9.2641314813,9.1221360368,9.2306941367,9.3121293188,9.3039696667,9.1643280168,9.3193809453,9.5554198096
Spg21,10.7769996162,10.6749617665,10.067547879,10.4574841497,10.5288876817,10.1349373944,10.3168443518,10.2505113381
4930571O06Rik,6.18043691,6.3518735306,6.2819402189,6.275991785,6.3451523721,6.2079534212,6.3187895491,6.4036793006
Gm11938,12.2236049679,12.3517722459,11.9993900448,12.252839369,12.0310065963,11.8216529167,12.1114552246,12.2405027132
chr8:122945743-122946192_F,6.7261464406,6.4367910258,6.5319402102,6.4689143302,6.4998312527,6.3302315005,6.4437086908,6.4180434659
Adamtsl1,6.1813357389,6.228581038,6.4203918373,6.3387209196,6.2752194431,6.4341272032,6.1961369136,6.2444066749
Gyltl1b,6.3110907856,6.3648720452,6.4802171485,6.3673090242,6.3025136603,6.3030081977,6.3669802799,6.366596676
Amy2a5,6.3039594002,6.3829365266,6.034599608,6.3515832755,6.433620945,6.1715503645,6.1692947065,6.3653183175
Gm35163,6.1915672637,6.2240552173,6.1130593538,6.04497814,6.106084988,6.0285409796,6.1212869363,6.1352746628
2310058N22Rik,9.0368814288,10.1337994177,8.5523771263,9.8024888979,9.6357383975,8.5045132687,8.4737532268,9.0499333187
chr1:85156338-85167730_R,7.4212310513,7.2810698481,7.264433722,7.425525922,7.3192450075,7.2505851694,7.182132662,7.2053608742
Aldoc,13.4096389311,13.5955528866,10.3303093979,12.9154891515,12.9564609633,9.7015157728,12.2202704767,11.8242769222
NAP093812-001,11.0824897511,11.1635164662,11.3648839174,10.9399006802,10.9066068966,11.2233250982,11.0399389761,11.4538008312
Gm3831,6.4253386392,6.3706619159,6.4558647797,6.5940026773,6.5123340305,6.5649017633,6.4430778647,6.4255752555
Ikbkg,7.2174030514,7.297193532,7.1243755741,7.312302741,7.2878752196,7.2017240579,7.2549932064,7.067010201
Stab2,6.1227955641,5.9898283623,6.282218129,6.2258243306,6.0679377507,6.2973815477,6.11387596,6.1122138573
Gng13,6.3958660435,6.3002734205,6.01840522,6.1413274072,6.2379487772,6.2995999131,5.9863333494,6.1235258247
Olfr1182,6.1886305279,6.341795241,6.1740682933,6.142450939,6.2417308477,6.0886644258,6.3656187868,6.3114527582
Gatad2b,9.4637249326,8.9072854425,9.0163847992,8.7715418489,8.6425554579,8.7348905086,8.9718887331,8.48773067
Daglb,7.280616594,7.235320869,8.4321387618,7.2545122564,7.3830478038,8.416576682,7.5602259906,7.4596805363
LOC102633312,6.2305395092,6.2161951618,6.2051125866,6.264631281,6.1128124091,6.3256822535,6.1149162276,6.2033796798
Sst,7.0490024633,6.4831863758,6.4260816821,6.2086859206,6.3046567538,6.4663826413,6.4815978648,6.4137702641
Mtus1,6.1327477993,6.2221592747,6.1904377603,6.0750492954,6.1879385812,6.1465870479,6.2298064454,6.2375669839
E2f6,6.4521255921,6.6948802496,6.5844511455,6.6492904121,6.6682068935,6.533688508,6.5657048383,6.8610686134
Lsp1,11.6818743958,11.0100859049,10.9182708857,13.0365907545,13.1306335268,12.1049076165,10.9315582259,11.7041554739
Slc9a3r2,6.6637669563,6.3579448893,6.6439585759,6.4978206702,6.9457912447,7.0476021779,6.8814462627,6.3727058742
Gm10563,6.0941232666,5.9821899318,5.9038387171,6.1846652664,5.9988173514,6.0411107296,6.078413275,6.0292560673
chr13:114486580-114532455_R,6.4910484583,6.3815475356,6.2718320364,6.2474277512,6.1922745142,6.1891880969,6.5764438532,6.2232933325
Gm518,6.2946023044,6.3334385605,6.3608826546,6.5377393594,6.3691856328,6.2369390802,6.2722767961,6.2626588311
Ccrn4l,12.4260220312,12.1530541155,12.2055993618,12.1623661988,11.9119407114,12.1242236749,12.8702253049,12.3391991801
Usp12,11.7705712096,11.6928966009,11.8045437824,11.7386228771,12.1043273626,11.9660311804,11.4575241871,11.6318660577
Mapk11,10.2314450145,9.7913848469,10.383634541,10.6240409803,9.9392603473,9.8851274847,10.2400360259,9.7857054004
Ifi47,13.5455692111,14.0144213247,13.4341264261,13.1253621466,13.457844799,13.7415397682,13.6391342067,14.0489379538
Zfp51,11.3392816572,11.2565706014,10.3842074522,11.0031073711,10.4732956016,10.3554987211,10.6033996992,10.5168315162
Tdp1,11.1083375381,10.4909157402,11.5910723299,11.0457500961,10.6771253837,11.3076736777,11.5714051682,11.5631035867
Sgsm2,6.2183462211,6.1578235584,6.1600200566,6.2468501097,6.1346146406,6.2886588446,6.3227119339,6.0863526906
Gdpd1,8.063590303,7.5538395003,8.3758541731,7.5319820625,7.9029481671,7.9552420449,8.4398267734,7.9328849178
Vstm2l,6.1698961565,6.0122227562,6.1201806126,5.9981279966,6.1023398905,6.0317318589,5.958828906,6.179949677
chr16:40471828-40472481_F,6.040565406,6.0971457125,6.1205455468,6.0264428674,6.0625623181,6.2018590109,6.0701625465,6.1943854694
Bend4,9.3760767331,8.6284206098,8.1548197193,8.0818563759,7.5816254908,8.2820849181,9.5106053946,8.0005430873
4933407I18Rik,6.3422508236,6.2185587809,6.2682367054,6.347224736,6.1318303527,6.3416378669,6.2942455783,6.1243501905
Olfr1252,8.138020901,7.8999613021,7.8807321886,7.6797429063,7.6847541999,7.6525609049,8.1106441865,7.8974446511
Rras2,12.5107462788,12.6977825996,12.2079942998,11.1046765221,11.7041554739,12.461508814,12.3712950289,12.9184798154
Ints5,10.1712546458,10.5629571869,10.9629890007,10.0529743115,10.0348505973,10.7623430553,10.3290748532,10.4601538832
Agmo,6.4764655853,6.549132122,6.3780357217,6.3669629615,6.3520129582,6.5451061619,6.4981581556,6.8415973952
Gm34798,6.2420272731,6.3802232539,6.2497532293,6.2309355725,6.3458070033,6.0892747701,6.2246094635,6.3669171526
Ddx51,11.3749392943,11.7698735021,12.1588665323,11.6636138325,11.3425019027,12.217445684,11.6911770676,11.4276890191
Fam83f,8.7225922827,8.5320716911,8.6154729531,8.6940243551,8.4824338279,8.4845378409,8.7559466635,8.9457975362
Htr4,6.173335899,6.2184436527,6.0720922792,6.2065360092,6.2261682719,6.1699233381,6.2098669677,6.0254331921
Ring1,9.4634531809,9.6415217236,9.4208216616,9.649242061,9.7171573741,9.5509318977,9.4335865864,9.4733675645
Commd5,12.0310065963,12.5291742614,12.7357524,11.8298838777,12.2643099378,12.5827102243,12.0661186559,12.0008276914
Mbtps1,13.0617730334,13.0361684438,12.9912146693,13.2398505161,13.3735694169,13.0670493249,13.2255771438,13.3091486705
Itgav,7.7761259631,8.112083414,7.1672813711,7.1100165643,7.2089638014,7.3972332099,7.000852394,7.3697536506
Hist4h4,13.914272253,12.9967068481,14.1592420617,13.2075326931,13.4865193032,13.9764079524,14.1196858132,14.5654468389
Pik3r6,7.5096997412,6.7309793689,6.9090639929,7.2789177832,7.2415569421,7.5193422045,8.1873782334,6.5173895728
4930402K13Rik,6.2141051611,6.1225845308,6.2437428358,6.1111084084,6.2108053605,6.2214899227,6.1417885521,6.1314878218
Fam96b,14.5819848617,14.472094705,14.2840442626,14.3999534738,14.4446668838,14.421853013,14.3240137663,14.1506601254
Sh2d6,6.6029855618,6.7341203315,6.7498122658,6.8035065115,6.691406038,6.6486046584,6.607432338,6.5395854339
Slc33a1,12.0440443381,12.7891865804,12.8814170711,12.4312951551,12.5030370833,12.8019487858,12.0680471154,12.6088153525
chr10:21542515-21579890_F,6.0824329095,6.0239119581,6.141333626,6.1148553544,6.1122278617,6.0321568315,6.0531337044,6.1426484149
6720432D03Rik,6.0130878223,5.9451577268,6.0067888993,5.948685707,5.9675328759,5.9969605194,5.9643015547,5.8221724194
Krr1,9.0382127362,9.3113911614,9.7897111528,9.0055269191,8.8327725978,9.7590989293,9.1740601339,9.1119324907
Olfr1306,6.211025669,6.258255721,6.3672835933,6.1710825441,6.3167945659,6.3866484663,6.3590523197,6.1564742581
Usp35,6.56600441,6.5301068027,6.443691386,7.2996424843,6.9894931732,6.5374450071,6.4918683192,6.3934080178
Farsa,13.6287191847,13.6581204652,14.4399800058,13.6665509452,13.6144218256,14.393048817,14.3115054111,13.7933023513
Galc,6.8969920225,7.0709831472,6.491886785,6.3277903262,6.5762060382,6.6102675556,6.6564722419,6.3081570752
Krt81,7.2733770526,6.7547680105,6.8788151685,6.7255817446,6.5476350501,6.590331888,7.5461690514,7.4223307652
Gm19582,7.7926449207,7.543197923,7.9749304489,7.7058622511,7.591078818,7.6843335825,7.8771298655,7.8964874539
Ppp1r17,6.0898700405,6.0528587754,6.0995383135,6.1718982029,6.2817826695,6.2547831973,6.0636194263,6.0523687663
Txlna,9.6893306287,9.4665970397,9.660235847,9.2728711162,9.3446138863,9.5144912021,9.2728711162,9.328272935
Eef1g,17.5295424232,17.3480334729,17.6124008462,17.4430023963,17.1693388396,17.6094806676,17.5123956433,17.3970426329
NAP022599-001,7.1785383084,7.2350177028,7.3988396377,6.3446120253,6.4843740873,6.7556076742,6.2400324471,7.6070968097
Rab3a,6.9916746473,6.9667977637,7.3686375492,6.7693405354,7.0200040468,7.1597443283,7.0518343109,6.8108521215
chr12:72103832-72116875_F,6.525545957,6.6894317817,6.5525374856,6.6185189646,6.4630785124,6.4670493938,6.4237276692,6.626365463
Gm4461,6.9269467511,6.6781805078,6.9631505985,6.823894604,6.8398461515,6.9128604694,6.7734165101,6.6366747002
Pgm1,8.3102347947,7.9882390907,8.6025301724,7.8696326877,7.9459545816,8.7554225841,8.5284904041,8.4363922325
BG094877,6.0778926836,6.2110887387,6.056146817,5.9944097242,6.1862168823,6.1215928659,6.0344019473,6.0511981459
Mcmdc2,6.2276679254,6.1027646475,6.0848205942,5.9910583941,6.0245443398,6.0000858902,6.0674416476,6.1618034367
Prrx2,8.4973122122,8.3536721721,8.1154230755,8.355469743,8.5907563644,8.1301628289,8.1942266426,8.0471151987
Tas2r106,6.236072278,6.1322765963,6.1394456341,6.221154217,6.1973985833,6.0957980529,6.0315814644,6.2334946966
chr10:93938748-93940695_R,7.6190254003,7.5139635585,7.5838946126,7.445983974,7.4630605131,7.4642330026,7.5558592277,7.5158760228
9530077C14Rik,7.1586523598,7.8421192573,7.1187060641,7.8358467813,7.6474134824,7.1470503144,7.1817288422,7.5363635776
AK035396,15.0476021641,15.5597459117,14.9951772372,16.0881451461,15.785063423,15.4829633498,15.5190896037,15.0598340228
Srcap,8.0825268176,7.8435033409,7.226911994,7.1956045874,7.1494232418,7.2002981322,7.3534497093,7.2529982186
chr1:167797581-167803031_F,6.7304251827,6.7189911253,6.3319415642,6.6657157207,6.4574797517,6.2543227846,6.6178765573,6.7167413522
Acin1,9.5288363168,8.940111853,8.9666150059,9.0135775104,8.9388931426,8.9241134462,9.1302593637,9.2629004041
LOC102640359,6.2544643318,6.2755875097,6.2009427581,6.3468527867,6.2771168976,6.3741613955,6.1386691071,6.2807455749
Rbbp7,14.223932743,13.7572562017,15.0826932719,14.6252969073,14.2706825875,14.8110142612,14.9900106117,15.4041992555
Zswim5,6.2430384096,6.2544721123,6.1620002304,6.1327022887,6.1053179332,6.0876967459,6.4291110584,6.2020235142
Zfp146,8.5954604517,8.5064239534,8.7194375132,8.4337734425,8.3659851089,8.6021995986,8.7217840552,8.2841153471
Rbm48,8.6301981779,8.6087510346,8.6038425993,8.5201778075,8.3583973329,8.6874982234,8.4759471016,8.6359077312
Pdcd6ip,12.9154891515,12.9627036432,12.694645605,13.019573688,12.6889493222,12.6524661545,12.9421319194,13.3689188563
Stxbp5,9.3015480089,8.968346925,9.278866984,9.3747599853,9.2557346432,9.3386227831,9.3542747805,9.1381811851
Bbs5,9.4078017654,9.0523111799,8.7515007043,8.8207123195,8.2474091591,8.7759273058,9.4249359946,7.8693013046
NAP092475-001,17.2793774653,17.2984752161,17.3577739704,17.4005308303,17.4344748418,17.4135848438,17.3495729984,17.4151876487
Ablim1,10.6641265063,10.4605363571,9.7656875278,10.1409250722,10.1458748705,9.3551476286,9.9303480696,10.3049702951
5930403L14Rik,6.1162983986,5.9300459324,6.1215847213,6.0789574178,6.2477277932,6.1140818498,6.0400648666,6.0017603559
A530046M15Rik,6.0110968738,5.9575993287,6.0793678689,5.894237965,6.0508550015,6.0889037709,6.0207132754,5.9109508015
2700060E02Rik,15.3107213458,15.4647217289,15.0676409472,15.4182056968,15.17507598,15.0366623167,15.1840726832,15.6855361158
Slc5a11,6.5900507746,6.1683007394,6.9038042362,7.3719905215,8.3040447102,7.5282370521,6.7401845178,7.0144680419
4930551O13Rik,6.1356893924,6.2437754797,6.0923856839,6.3181103608,6.3194479262,6.3980175102,6.3460141719,6.2806921809
Cct4,12.5429981006,12.4703813856,12.6753162811,12.2814927059,12.1711964909,12.7363904983,12.3816201083,11.9219949369
Pcyt2,8.660683742,8.6708984017,9.0048306851,8.6708984017,9.0161998944,8.6776381116,8.8369414094,8.7897687715
Farp2,7.5996247386,8.1500938171,8.1621752499,8.8967759973,8.5320716911,8.2089564476,7.9092477172,7.6230718746
Gm34055,6.1734329698,5.99734334,5.908609514,6.0243743449,6.0734252777,5.9430683712,5.9188562193,5.844754714
Krtap28-10,6.1372267497,6.266668768,6.1973756282,6.2555440383,6.2929216222,6.242273766,6.158402069,6.1915073256
Ttll11,6.1885701061,6.5594035393,6.4387401551,6.1778670968,6.1831873739,6.2998354552,6.328704098,6.1616165208
Smarcal1,7.1588418551,7.0148456703,7.0324021376,7.0936157693,7.0269117546,7.0130058337,7.1802559654,6.8603646201
Dock3,7.2965185198,6.8612183869,8.175764422,6.6220386446,6.914368622,7.5786249746,7.9438874143,7.9576084329
X61497,6.2742455839,6.3970462633,6.2236718029,6.3538931191,6.3108594913,6.455416457,6.3750011678,6.3688532325
Sparcl1,6.1480028396,6.1046699966,5.9834164817,6.316077994,6.3272865427,6.2346757282,6.0286747634,6.265194059
Sec62,12.7643291175,12.6779649809,12.9596998498,12.9830153702,13.1265000638,13.0295921306,12.8287020626,12.5439702252
6330405D24Rik,6.2871339413,6.2962269063,6.0358292601,6.2230529431,6.2855553574,6.1769475817,6.1507463779,6.3751678985
Gm19500,6.8915287011,6.9129674296,6.5314020737,6.4953782066,6.6603054951,6.6339693231,6.6790724687,6.5350522733
Prickle1,8.9197156546,9.1777278741,8.8025509197,8.9705027655,9.0564740708,9.064157307,8.8874218066,10.048836377
2810006K23Rik,7.0796293789,7.4449872868,7.5353244077,7.5461024004,7.6058772699,7.5455679887,7.6231931296,7.573041254
chr13:21264306-21264482_R,6.4326987455,6.2913190552,6.4151812054,6.3415330961,6.2943701299,6.3568125396,6.2584032725,6.2424269377
Steap2,6.2170427149,6.3072884218,6.2405156469,6.1408893737,6.1748534886,6.0551980006,6.3087417241,6.3337715736
Col3a1,6.0962629688,6.0172602078,6.1381838486,6.1068078227,6.2092778579,6.1254993149,6.0366146688,6.0409557976
Apeh,12.4891210776,12.559520038,13.140020113,12.3977658038,12.855220818,13.0413302741,12.8073751035,12.9697677521
Trip13,12.074030431,11.8075696211,13.3091486705,11.8104896081,11.9043682523,13.2597128617,12.6324643491,12.9369189639
chr7:141616960-141690667_R,6.3584173791,6.378299737,6.5965962319,6.3509573435,6.2769842044,6.2143539717,6.345516696,6.2117922247
Mpz,6.3281582015,6.4401287141,6.2991641614,6.2652282821,6.487214665,6.3710301924,6.4042157483,6.3337160858
Ifna15,6.966862411,6.7463058025,6.8231897281,6.7054296675,6.8952040369,6.8291498528,6.7606782562,6.7552121968
Prima1,6.269699942,6.1776000901,6.1088586679,6.2657498291,6.3097712245,6.2156792693,6.3526323253,6.144657894
4930447N08Rik,6.0502991957,6.0864885374,5.9020401729,6.518231846,5.8983394803,6.2260274316,5.7491219423,5.8847590203
Golga3,12.5058524809,12.4207957047,12.1759941867,12.0752742893,12.143006374,12.2671914821,12.5066668849,12.0314065795
Ssr1,9.2833504363,9.1636390889,9.6649968137,9.1250405897,9.1070562738,9.573847238,9.2961445431,8.9948054041
Dhx33,8.7834461286,9.0685945858,9.2065710236,8.7326877165,8.6350653207,9.204643768,8.5755566201,8.5804477931
Snrpd1,15.024353546,14.9651723254,15.5896739873,14.7610823703,14.8594400764,15.5721734734,15.3600510207,15.3666937599
A430046D13Rik,7.4334833464,7.4127534334,7.2638095576,7.7027840824,7.2293155971,7.1656068177,7.1651349698,7.4134433323
chr3:93151210-93151777_F,6.2676651462,6.2324432487,6.3298633286,6.2509581263,6.3022304262,6.4416127822,6.2428382168,6.3003016013
Mgl2,15.3774984329,15.5203952673,16.1782700987,15.2193825365,15.5673699777,15.906142749,15.5582550033,15.0320407112
Ccndbp1,12.5328742303,12.7144141675,12.5128079741,13.1185709533,13.0471630977,12.6688258338,12.4518829978,12.6459369013
chr7:85949555-85960019_F,6.6492252018,6.4692467202,6.4720728797,6.8511834396,6.5925164116,6.7082655203,6.8712501359,6.6691995272
AK034578,6.2855920447,6.2932009943,6.2869564818,6.1727140856,6.2613797504,6.1737426403,6.3457824071,6.3690365508
Pbx4,7.7300359107,7.5729493052,6.8037119351,7.7462908895,7.2580290801,6.9509567031,7.2274046222,7.5952894568
chr3:58730418-58742493_F,6.2480183546,6.3867100126,6.3603110945,6.252085957,6.2076519147,6.2075991093,6.1344713093,6.2746914488
E530011L22Rik,6.1027762024,6.0549843592,6.1755447563,6.2043954429,6.3982476887,6.2796931226,6.2381487338,6.1055440155
Gm26756,6.2162312262,6.3588702063,6.2763109218,6.6373363236,6.1532253104,6.0484704446,6.2156792693,6.1733150657
Rilpl1,6.1280102211,6.127966302,5.9713478191,6.0772003448,5.9922505423,5.9966667169,6.0466296147,6.0385277059
Gm29073,6.3030585841,6.3297467227,7.1902091948,6.2307928438,6.2487025947,6.2666391152,6.2322650022,6.3024951721
Ntmt1,11.7772572075,11.9932252019,12.0265292678,11.2217402807,11.2633856345,11.9125770355,11.7493409308,11.6271080373
Dicer1,10.4895777595,10.5194023488,11.0560699551,10.4120623736,10.4264080083,10.8777327902,10.5337340762,10.7260303576
Chm,11.1718786991,11.2121576453,10.4962249039,11.16935015,10.7990762653,10.512463108,10.75656893,11.2464877515
Ube2d3,15.1956256435,15.1794658246,15.0025708561,15.0610859881,15.0107640872,15.0518889649,14.9144467399,14.9772688822
Sirt4,9.6074491724,9.9103961775,9.7922008627,9.795389401,9.7114302449,9.6893306287,9.6782352852,9.1663817832
AK045275,6.1128899209,6.1894106082,6.1611887772,6.1126277017,5.8752737864,6.1317895451,6.210525309,6.2434558264
Vmn2r-ps54,6.0529550185,6.1885152867,5.9878419473,6.0565976639,6.0270881681,6.089600385,6.1467166301,6.2051421498
Zfp148,8.7976336329,8.6158997225,8.7916877371,8.6529913188,8.5615289701,8.7622411702,8.7930824911,8.7992792861
Zfhx4,6.0564033438,6.0015508777,5.887711703,5.9000220474,6.0174875103,5.9875480334,5.9275274311,6.0777876466
Sept4,6.6657157207,6.6111426936,6.4311946227,7.2130339044,6.6454709353,6.5348460184,6.7722005226,6.7208782401
chr13:98571741-98603323_F,6.2514915122,6.2737176781,6.3384237252,6.7580534113,6.104475335,6.3663615549,6.2580315843,6.1845009238
Dnase1l1,7.1644554214,7.1770380414,7.1786847015,7.4699390351,7.3982449598,7.1443396574,7.1018743047,7.3135420225
Actrt1,5.9902280591,6.0577790993,6.146888125,6.0664611146,6.1555306964,6.3387801006,6.0870572084,6.0825419006
chr12:17350856-17355179_R,8.4059702732,8.1478534986,7.587098771,7.9498792727,7.7386818755,7.5042270713,7.645663686,7.7158853329
chr1:88339354-88345004_F,7.0009221862,6.9158741527,6.8095881553,7.0796293789,6.8003140086,6.9745061025,6.98992664,7.1732405517
Prmt5,8.7411841434,8.5577859061,9.2580192181,8.2699894071,8.1461207025,9.0335359192,8.7814584027,8.4872505887
BC147360,7.6674535001,7.4112649121,7.7358142672,7.3044758951,7.191334857,7.4052551877,7.6453134864,7.5270773119
Scoc,7.1946660214,7.0551484952,7.4168372777,7.179348626,7.0492411643,7.3657674967,7.2827895976,7.6666983678
Degs1,13.1799646077,13.7211620635,13.2533651689,13.733855647,14.1106008515,13.4983259149,13.1265000638,13.6539576
Proz,6.2142222108,6.1785238937,6.0430109536,6.2390853864,6.191857328,6.2933497766,6.2491562697,6.4517201604
Deb1,12.8406739623,13.1107468336,13.3074847569,13.3335282586,13.1021712033,13.428594093,12.9018491126,12.617443929
Setd5,10.3135259669,10.8452285957,10.3287271966,10.4255343731,10.002543915,10.1947349521,10.7675182843,10.3945875909
9630023C09Rik,6.3862777115,6.3020830664,6.5066355761,6.2566863359,6.185487823,6.3866484663,6.2589600281,6.2481451311
Thsd1,6.7366156424,6.9779900682,6.5637059506,6.8576344822,6.8582710173,6.5445087765,6.5984082167,6.5819778088
Fbxo4,10.4605363571,11.0256387141,10.5751351297,10.887528792,11.2622262922,10.8264153233,10.4284097236,10.7886048249
Sfrp4,6.0758498259,5.9906173825,6.11387596,6.0800988829,6.0695117456,6.2116497048,6.1581974478,6.0959994168
Tnfrsf21,7.617601316,7.4644147583,7.5193422045,7.3480945845,7.4018244697,7.4979863359,7.4736446265,7.4333507125
AK047333,6.1050439567,6.1994157839,7.5119013125,6.0872199565,6.0934758123,6.3387801006,6.1619786148,6.1635690393
Nthl1,8.2901754048,8.2626679027,9.1320949639,8.222374235,8.6174974001,9.1886185234,8.6126501839,8.2427620501
Cd46,6.4369998844,6.4042425348,6.4764112398,6.6487519231,6.5263553127,6.2300575271,6.5204177851,6.4070736017
Tnk1,6.1951956823,6.2635305183,6.1328630314,6.2144999918,6.4013623955,6.4730477076,6.3552008908,6.2730956168
Olfr1287,6.1741055783,6.2325296419,6.241078653,6.3079787682,6.5361743629,6.3080986677,6.2348706928,6.2173286026
Stk4,10.6033996992,10.2472257664,10.4313359106,10.2634057137,10.3103318302,10.2467447342,10.2406568448,10.3711587098
AU044856,6.0880475264,6.0775691238,5.9904323503,6.1862962538,6.2442149019,6.3997912523,6.2469357291,6.1656898559
Repin1,11.6659505007,11.8496685197,11.9828073344,11.6123286032,11.9468527469,12.2480008538,12.6547878052,11.8705757742
1700022A22Rik,6.2392366585,6.2952537956,6.2892502023,6.2195637708,6.3246154636,6.2008258671,6.2344644016,6.4005810857
Atl3,12.4182020437,12.1504424446,12.1098453661,12.6664193123,12.6731740935,12.2581334691,12.4529857698,12.1707407978
LOC552890,8.5099750829,8.8192709769,8.7531493916,8.3068518089,8.4467152176,8.5857939804,8.532901034,8.7677000622
Slc39a11,6.3702368383,6.3703378405,6.3827363702,6.5149046108,6.498176254,6.4883792238,6.4783183222,6.4061104923
Gna13,14.7042924505,14.4357308902,13.33994807,14.590393121,13.9737902448,13.3108346329,14.5876792955,13.5014986619
Ikbke,8.883976624,8.9128306301,9.0885580496,10.3842074522,10.0145291622,9.1525002203,9.1183615713,9.3116337217
Ptpre,8.6755437929,9.276870329,8.275772669,8.8899235967,9.0722438855,8.9145301878,8.0233729978,9.637355876
2210018M11Rik,11.9043682523,11.4252267328,11.2907183408,11.5192161588,11.0770411813,11.1919098765,11.6467176898,11.3230924136
chr2:28260005-28260187_R,6.3162981663,6.3603320666,6.3171028248,6.4449734223,6.4486078259,6.4992111662,6.3490069149,6.4102487328
Rfwd3,13.1989615272,13.0186213199,13.7858236976,13.3629551009,13.5466355472,13.8064766953,13.6346081146,13.8407128058
Cers6,6.4965874919,6.6104009679,6.5511157638,6.192984262,6.3147596537,6.5460875233,6.558060639,6.2737225913
Jam3,6.6572499509,6.4931595735,6.3958468863,6.1869519448,6.3786164124,6.1386741019,6.4598639581,6.4108854413
AI314760,6.4075294416,6.2813740006,6.220251366,6.3222781806,6.1583252901,6.3505136706,6.4313708812,6.3969128673
Zfp467,7.3856020566,7.6275434151,7.4051320968,8.0953270766,8.3250741487,7.2961338793,6.9176510221,7.9744234261
LOC102642966,6.2108313284,6.0054984261,6.0958572874,6.1324459305,5.9824411336,6.0521020637,6.1805072959,6.1785883256
Plcd4,6.603902177,6.6498859189,6.3956945096,6.5582232814,6.3708791916,6.382818741,6.3566667969,6.2707218593
chr5:22801058-22939737_F,12.4682354751,12.3820022325,12.209444776,12.2933201396,12.3600623994,11.9590193899,12.5858418846,12.7840205026
chr13:29106280-29120376_F,6.2705464385,6.2235093459,6.1709938876,6.160875686,6.2406988606,6.2840412175,6.0902559666,6.2907771124
Dclre1b,6.7387222046,7.0226517028,6.843977425,6.7935751113,7.0069338226,6.9787629796,6.6355065688,7.0491655127
Atg4c,6.8611054583,6.8132137584,6.6564212369,6.755780151,6.5101886813,6.4080533406,6.7007786604,6.7892644638
1700066B19Rik,9.5358498887,9.6560688974,10.6577784123,9.8291042094,9.9752050875,10.2858824394,9.6195331803,11.0839727249
Fbxo9,7.3868903263,7.5922220361,7.7838367198,7.7526162278,7.5557152615,7.7706175964,7.3951652376,7.787822447
Pgs1,13.6641359206,13.950680028,13.7988184594,12.7948017244,12.9651926739,13.6991788437,13.6723320389,13.3318913601
Vps36,12.4172525499,12.1462391801,12.7965385303,12.0551257344,11.8807477114,12.6909403971,12.7285808596,12.6329482156
Nup107,13.4525543547,13.4341264261,14.2864225559,13.3229315838,13.405274504,14.2028677744,14.0076347092,14.034978529
Tnrc6a,11.5476376461,11.4665675435,11.675439378,12.0145794571,12.0900059963,12.1035573629,11.675439378,11.3774132475
CB527178,6.2646676298,6.1980874058,6.194721175,6.2867667258,6.2599730124,6.3840912158,6.215311756,6.2373361046
BC049352,6.2347550713,6.5600241688,6.4512452283,6.5709537972,6.4456362948,7.1636380189,6.1773674624,6.2490233001
Gm11696,7.5892257581,8.0678839293,7.2708350969,8.8192709769,8.1670297953,7.3687486492,7.6517892891,7.6195266404
BF470239,10.1830419263,9.8146466336,9.5745183143,9.7903509178,9.5031483096,9.5723997008,9.8552217562,10.0511322635
Slc18a1,6.4289097013,6.4615086525,6.3336909813,6.5397224029,6.4669910248,6.4625676594,6.4774971505,6.4905571978
Grin1,6.4100055816,6.3344170861,6.3000107879,6.3507103608,6.150156721,6.2395897554,6.2589600281,6.395276419
Gm35522,7.8723960649,7.4014336894,7.9864573266,7.4249414963,7.4102373671,7.8259585183,8.2676689256,8.0576095397
chr17:15357376-15385701_R,8.2865928692,8.0816735865,8.3346565863,8.2675045236,8.0628663206,8.2420124575,8.1777973176,8.3081139377
Sept4,6.575097921,6.4344970539,6.4321283445,6.6865987781,6.534813609,6.4517503298,6.9182056664,6.8728752134
Arhgdig,10.7125926319,10.4252120811,11.3312089189,9.917397612,9.8000542197,11.0560699551,11.3786407564,9.884956527
Rftn2,6.9977984984,6.9803067795,6.7747224991,7.2265693405,7.2801614948,7.0237398958,6.8186136539,6.8056792485
Tas2r107,6.1938907212,6.2769993978,6.1891398304,6.2070411275,6.1825339665,6.0220825045,6.1302132691,6.293342184
2210406O10Rik,6.2746589399,6.4979597642,6.4293230916,6.4817211988,6.4774743823,6.5385146906,6.4674984687,6.5066355761
Fat1,6.5347351679,6.4823356915,6.9301976776,6.9088908221,7.3330785572,6.9830530796,6.8718545607,6.5595611656
Sult2a6,6.2065165225,6.1072625042,6.0258184749,6.0852809973,6.1742084313,6.1701066029,6.0615407559,6.0261320917
Npas1,6.7832314915,6.9254278297,6.4844376364,6.2353155015,6.5268521213,6.2882747358,6.3113473723,6.3287515886
5230400M03Rik,6.8272780544,6.73195647,6.8669643778,6.5759853623,6.6834950989,6.7876464456,6.7836210267,6.4590041758
Srgn,16.2476175513,16.5722192367,16.7842843454,16.3202563454,16.5219733936,16.9252242566,16.2030645032,15.3504004747
6820445E23Rik,6.5757021565,6.2334632427,6.4913906206,6.8607737849,6.6979321393,6.5831221736,6.7188857127,6.4972932012
AK140304,5.9752502565,5.9696303293,6.0206367702,6.0394415525,5.885869811,5.9734692533,5.9822967914,6.0615407559
Grik1,5.9452916706,5.8709550939,6.0859971878,5.9273770098,6.2058148168,6.2211737612,5.9359724426,6.2233443666
